"name","node"
"авторский право_2012_4",0
"авторский право_2013_2",1
"антипиратский закон_2013_3",2
"битрикс управление_2013_4",3
"всемирный конференция_2015_4",4
"главный редактор_2009_1",5
"домашний арест_2014_2",6
"законопроект_2019_1",7
"запрет реклама_2012_3",8
"защита информация_2016_3",9
"интернет магазин_2016_4",10
"интернет цензура_2010_1",11
"интернет цензура_2011_2",12
"использование_2015_1",13
"массовый коммуникация_2010_3",14
"министерство_2010_2",15
"настоящий время_2017_3",16
"начальник управление_2016_2",17
"организация_2015_2",18
"официальный сайт_2013_1",19
"пользователь_2018_1",20
"правительство_2011_1",21
"разработка_2008_1",22
"регулирование_2015_3",23
"система управление_2014_1",24
"социальный сеть_2017_1",25
"технология_2017_2",26
"черный список_2012_1",27
